gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,total_score,avg_score,risk_level,performance_band,recommendation,overall_rank,gender_rank,math_rank,performance_cluster
female,group B,bachelor's degree,standard,none,72,72,74,218,72.66666666666667,Low Risk,Good,Stable performance,379,222,348,Average Student
female,group C,some college,standard,completed,69,90,88,247,82.33333333333333,Top Performer,Good,Excellent student - can mentor others,155,101,410,High Achiever
female,group B,master's degree,standard,none,90,95,93,278,92.66666666666667,Top Performer,Excellent,Excellent student - can mentor others,31,24,51,High Achiever
male,group A,associate's degree,free/reduced,none,47,57,44,148,49.333333333333336,High Risk,Poor,Needs immediate academic support,901,421,894,Needs Improvement
male,group C,some college,standard,none,76,78,75,229,76.33333333333333,Low Risk,Good,Stable performance,282,119,254,Average Student
female,group B,associate's degree,standard,none,71,83,78,232,77.33333333333333,Low Risk,Good,Stable performance,255,150,366,Average Student
female,group B,some college,standard,completed,88,95,92,275,91.66666666666667,Top Performer,Excellent,Excellent student - can mentor others,37,28,65,High Achiever
male,group B,some college,free/reduced,none,40,43,39,122,40.666666666666664,High Risk,Poor,Needs immediate academic support,967,467,951,Needs Improvement
male,group D,high school,free/reduced,completed,64,64,67,195,65.0,Low Risk,Average,Stable performance,593,258,554,Average Student
female,group B,high school,free/reduced,none,38,60,50,148,49.333333333333336,High Risk,Poor,Needs immediate academic support,901,481,965,Needs Improvement
male,group C,associate's degree,standard,none,58,54,52,164,54.666666666666664,Moderate Risk,Average,Needs improvement with guidance,810,372,710,Needs Improvement
male,group D,associate's degree,standard,none,40,52,43,135,45.0,High Risk,Poor,Needs immediate academic support,945,455,951,Needs Improvement
female,group B,high school,standard,none,65,81,73,219,73.0,Low Risk,Good,Stable performance,367,216,518,Average Student
male,group A,some college,standard,completed,78,72,70,220,73.33333333333333,Low Risk,Good,Stable performance,356,145,216,Average Student
female,group A,master's degree,standard,none,50,53,58,161,53.666666666666664,Moderate Risk,Average,Needs improvement with guidance,830,447,851,Needs Improvement
female,group C,some high school,standard,none,69,75,78,222,74.0,Low Risk,Good,Stable performance,345,205,410,Average Student
male,group C,high school,standard,none,88,89,86,263,87.66666666666667,Top Performer,Excellent,Excellent student - can mentor others,76,22,65,High Achiever
female,group B,some high school,free/reduced,none,18,32,28,78,26.0,High Risk,Poor,Needs immediate academic support,995,516,998,Needs Improvement
male,group C,master's degree,free/reduced,completed,46,42,46,134,44.666666666666664,High Risk,Poor,Needs immediate academic support,947,457,905,Needs Improvement
female,group C,associate's degree,free/reduced,none,54,58,61,173,57.666666666666664,Moderate Risk,Average,Needs improvement with guidance,756,415,780,Needs Improvement
male,group D,high school,standard,none,66,69,63,198,66.0,Low Risk,Average,Stable performance,562,243,494,Average Student
female,group B,some college,free/reduced,completed,65,75,70,210,70.0,Low Risk,Good,Stable performance,448,264,518,Average Student
male,group D,some college,standard,none,44,54,53,151,50.333333333333336,Moderate Risk,Average,Needs improvement with guidance,884,412,925,Needs Improvement
female,group C,some high school,standard,none,69,73,73,215,71.66666666666667,Low Risk,Good,Stable performance,404,241,410,Average Student
male,group D,bachelor's degree,free/reduced,completed,74,71,80,225,75.0,Low Risk,Good,Stable performance,314,130,296,Average Student
male,group A,master's degree,free/reduced,none,73,74,72,219,73.0,Low Risk,Good,Stable performance,367,152,321,Average Student
male,group B,some college,standard,none,69,54,55,178,59.333333333333336,Moderate Risk,Average,Needs improvement with guidance,721,322,410,Needs Improvement
female,group C,bachelor's degree,standard,none,67,69,75,211,70.33333333333333,Low Risk,Good,Stable performance,440,258,468,Average Student
male,group C,high school,standard,none,70,70,65,205,68.33333333333333,Low Risk,Average,Stable performance,499,211,392,Average Student
female,group D,master's degree,standard,none,62,70,75,207,69.0,Low Risk,Average,Stable performance,475,276,600,Average Student
female,group D,some college,standard,none,69,74,74,217,72.33333333333333,Low Risk,Good,Stable performance,389,230,410,Average Student
female,group B,some college,standard,none,63,65,61,189,63.0,Moderate Risk,Average,Needs improvement with guidance,646,364,574,Average Student
female,group E,master's degree,free/reduced,none,56,72,65,193,64.33333333333333,Moderate Risk,Average,Needs improvement with guidance,613,348,753,Average Student
male,group D,some college,standard,none,40,42,38,120,40.0,High Risk,Poor,Needs immediate academic support,969,468,951,Needs Improvement
male,group E,some college,standard,none,97,87,82,266,88.66666666666667,Top Performer,Excellent,Excellent student - can mentor others,64,19,14,High Achiever
